Teste,Valor obtido,Valor esperado,Tempo (ms),Pico de memória (kb),Aproximação do ótimo (%),Erro percentual (%),Status
f10_l-d_kp_20_879,1003,1025,0.444,3556,97.8500,2.1500,passou
f1_l-d_kp_10_269,287,295,0.05,3556,97.2800,2.7200,passou
f2_l-d_kp_20_878,1001,1024,0.419,3520,97.7500,2.2500,passou
f3_l-d_kp_4_20,31,35,0.018,3556,88.5700,11.4300,passou
f4_l-d_kp_4_11,22,23,0.016,3520,95.6500,4.3500,passou
f6_l-d_kp_10_60,52,52,0.05,3556,100.0000,0,passou
f7_l-d_kp_7_50,105,107,0.024,3556,98.1300,1.8700,passou
f8_l-d_kp_23_10000,9618,9767,0.551,3684,98.4700,1.5300,passou
f9_l-d_kp_5_80,122,130,0.02,3556,93.8400,6.1600,passou
knapPI_14_200_1000_1,5372,5397,139.108,40804,99.5300,.4700,passou
knapPI_1_500_1000_1,28832,28857,1593.01,489564,99.9100,.0900,passou
knapPI_2_500_1000_1,4551,4566,1493.74,475492,99.6700,.3300,passou
knapPI_3_500_1000_1,7091,7117,1759.06,547776,99.6300,.3700,passou
