Teste,Valor obtido,Valor esperado,Tempo (ms),Pico de memória (kb),Aproximação do ótimo (%),Erro percentual (%),Status
f10_l-d_kp_20_879,1019,1025,0.021,3376,99.4100,.5900,passou
f1_l-d_kp_10_269,294,295,0.026,3428,99.6600,.3400,passou
f2_l-d_kp_20_878,1018,1024,0.02,3428,99.4100,.5900,passou
f3_l-d_kp_4_20,35,35,0.009,3384,100.0000,0,passou
f4_l-d_kp_4_11,16,23,0.008,3428,69.5600,30.4400,passou
f6_l-d_kp_10_60,52,52,0.014,3428,100.0000,0,passou
f7_l-d_kp_7_50,102,107,0.01,3388,95.3200,4.6800,passou
f8_l-d_kp_23_10000,9751,9767,0.016,3428,99.8300,.1700,passou
f9_l-d_kp_5_80,130,130,0.01,3428,100.0000,0,passou
knapPI_14_200_1000_1,5397,5397,0.102,3392,100.0000,0,passou
knapPI_1_500_1000_1,28834,28857,0.292,3376,99.9200,.0800,passou
knapPI_2_500_1000_1,4552,4566,0.294,3376,99.6900,.3100,passou
knapPI_3_500_1000_1,7098,7117,0.274,3420,99.7300,.2700,passou
